YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2009,12,31,23,50,136,5.5,6.7,1.83,12.12,6.38,294,1025.3,12.4,12.3,999,99,99
2010,1,1,0,50,155,7.1,8.8,1.91,11.43,6.36,294,1025.6,12.7,12.3,999,99,99
2010,1,1,1,50,160,7.6,8.9,1.84,12.12,6.15,299,1025.7,12.4,12.3,999,99,99
2010,1,1,2,50,167,6.7,8.2,1.89,12.9,6.39,281,1026.3,12.3,12.4,999,99,99
2010,1,1,3,50,160,8,9.3,1.81,11.43,6.14,274,1025.7,12.4,12.4,999,99,99
2010,1,1,4,50,157,6.7,8,1.78,12.12,5.9,281,1026.3,12.5,12.4,999,99,99
2010,1,1,5,50,145,6.9,8.3,1.82,12.12,5.96,293,1026,12.5,12.4,999,99,99
2010,1,1,6,50,146,8.6,10,1.92,12.9,6.12,294,1025.5,12.5,12.4,999,99,99
2010,1,1,7,50,150,7.5,8.8,1.63,12.12,5.48,271,1025.9,12.4,12.4,999,99,99
2010,1,1,8,50,157,7.9,9.8,1.75,12.9,5.57,272,1025.6,12.3,12.4,999,99,99
2010,1,1,9,50,158,6.2,7.4,1.85,12.12,6.09,275,1025.5,12.2,12.4,999,99,99
2010,1,1,10,50,161,5.7,6.6,1.91,12.12,6.33,288,1026,12.3,12.4,999,99,99
2010,1,1,11,50,163,5.6,6.7,2.02,11.43,6.99,288,1025.8,12.1,12.4,999,99,99
2010,1,1,12,50,156,6.7,7.8,2.13,11.43,7.06,285,1025.3,12.1,12.4,999,99,99
2010,1,1,13,50,151,7.1,9.1,2.49,11.43,7.43,282,1024.8,12.1,12.4,999,99,99
2010,1,1,14,50,151,7.4,8.8,2.52,11.43,7.24,282,1024.7,12,12.4,999,99,99
2010,1,1,15,50,159,7.5,9,2.99,10,7.62,283,1024.7,12.2,12.5,999,99,99
2010,1,1,16,50,162,7.2,8.6,2.7,10.81,7.53,279,1024.9,12.3,12.5,999,99,99
2010,1,1,17,50,166,7.4,8.4,3.08,11.43,7.56,274,1025.3,12.4,12.4,999,99,99
2010,1,1,18,50,175,7.9,9.6,2.87,12.12,7.34,267,1025.3,12.5,12.4,999,99,99
2010,1,1,19,50,172,7.6,9,3,10,7.49,269,1024.7,12.5,12.4,999,99,99
2010,1,1,20,50,173,6.5,7.9,2.72,10.81,7.31,274,1024.2,12.6,12.3,999,99,99
2010,1,1,21,50,174,4.5,5.6,2.64,12.12,7.58,282,1024.2,12.5,12.2,999,99,99
2010,1,1,22,50,180,3.6,4.2,2.64,12.12,8,278,1024.3,12.5,12.2,999,99,99
2010,1,1,23,50,173,2.9,3.9,2.54,11.43,8.12,280,1024.2,12.4,12.2,999,99,99
2010,1,2,0,50,181,3.1,3.8,2.43,11.43,8.15,280,1024.3,12.5,12.3,999,99,99
2010,1,2,1,50,173,2.2,3.1,2.4,12.12,8.46,283,1024.3,12.5,12,999,99,99
2010,1,2,2,50,182,1.2,2.2,2.71,12.12,8.73,280,1024.9,12.3,11.8,999,99,99
2010,1,2,3,50,145,0.9,2.4,3.11,12.12,9.19,280,1025.3,12.2,11.8,999,99,99
2010,1,2,4,50,129,1.4,2.7,3.37,11.43,9.95,282,1025,12,11.8,999,99,99
2010,1,2,5,50,129,2.6,4.6,4.1,16,10.65,311,1024.4,12,11.8,999,99,99
2010,1,2,6,50,120,3.5,5.8,5.04,16,11.52,310,1024.6,11.8,11.8,999,99,99
2010,1,2,7,50,155,2.6,4.8,5.04,17.39,11.63,304,1024.8,11.8,11.8,999,99,99
2010,1,2,8,50,96,1.7,3.9,5.1,16,11.06,285,1024.9,11.7,12,999,99,99
2010,1,2,9,50,70,2,3.9,4.96,16,11.1,279,1024.8,11.7,12.1,999,99,99
2010,1,2,10,50,335,0.5,1.7,4.98,12.9,11.18,271,1025.2,11.7,12.1,999,99,99
2010,1,2,11,50,48,2.7,4.4,4.88,14.81,10.73,269,1025,12,12.2,999,99,99
2010,1,2,12,50,50,1.8,3.5,4.47,16,10.53,275,1024.6,12.3,12.3,999,99,99
2010,1,2,13,50,67,1.9,3.7,4,16,10.19,270,1024.3,12,12.2,999,99,99
2010,1,2,14,50,58,1.4,3,4.12,12.9,10.36,286,1024.9,11.6,12.2,999,99,99
2010,1,2,15,50,34,1.2,2.7,3.81,13.79,10.11,273,1024.9,11.5,12.3,999,99,99
2010,1,2,16,50,358,3,4.6,3.62,13.79,9.94,270,1025.6,11.1,12.3,999,99,99
2010,1,2,17,50,40,3,4.6,3.65,12.9,10.01,274,1025.6,10.9,12.3,999,99,99
2010,1,2,18,50,17,2.9,4.2,3.65,13.79,10.22,278,1025.6,10.8,12.3,999,99,99
2010,1,2,19,50,17,1.6,3,4.05,14.81,10.32,281,1025,10.1,12.4,999,99,99
2010,1,2,20,50,332,2.5,4.3,3.57,13.79,10.14,279,1024.2,9.7,12.5,999,99,99
2010,1,2,21,50,313,3.5,5.3,3.88,13.79,10.84,277,1023.8,9.9,12.5,999,99,99
2010,1,2,22,50,341,2.9,4.3,3.5,13.79,10.53,279,1023.2,9.7,12.6,999,99,99
2010,1,2,23,50,345,3,4.1,3.8,12.9,10.65,284,1023.2,9.4,12.5,999,99,99
2010,1,3,0,50,344,3,4.1,3.94,12.9,10.77,285,1022.9,9.7,12.5,999,99,99
2010,1,3,1,50,345,2.8,3.7,3.27,12.9,10.34,278,1022.9,9.6,12.4,999,99,99
2010,1,3,2,50,352,1.7,2.9,3.13,12.9,9.96,300,1023,9.5,12.4,999,99,99
2010,1,3,3,50,339,1.7,3.6,3.37,12.9,9.95,288,1023.2,10,12.3,999,99,99
2010,1,3,4,50,338,2.2,3.2,3.65,12.9,9.9,273,1023.4,9.5,12.3,999,99,99
2010,1,3,5,50,355,1.5,2.6,3.51,12.12,9.98,276,1023.1,9.4,12.3,999,99,99
2010,1,3,6,50,358,0.3,1.1,3.14,12.9,9.33,281,1022.9,9,12.3,999,99,99
2010,1,3,7,50,34,0.6,1.4,2.97,12.9,9.29,264,1022.4,8.9,12.3,999,99,99
2010,1,3,8,50,80,2.3,3.3,3.02,12.12,9.14,280,1021.8,10.6,12.3,999,99,99
